Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,71.25%,30.52%,112.11%,42.79%,71.66,0.1225,0.7596,0.096,0.192,0.835,0.584
2,1.0,1.0,YES,1.69e-04,5.83%,19.15%,40.49%,22.64%,47.64,0.0435,0.1382,0.035,0.116,0.914,0.778
3*,0.98,0.97,YES,6.09e-02,5.8%,16.09%,26.24%,17.79%,26.18,0.0225,0.054,0.016,0.034,0.961,0.911
4,0.89,0.78,YES,Most Stab Sigs,2.16%,11.88%,26.06%,13.17%,25.87,0.0185,0.0536,0.011,0.033,0.974,0.934
5,0.68,0.06,NO,N/A,1.81%,10.86%,25.78%,11.01%,25.51,0.0164,0.0521,0.009,0.032,0.977,0.934
6,0.56,-0.08,NO,N/A,1.64%,9.91%,23.5%,10.82%,21.76,0.014,0.0464,0.008,0.024,0.98,0.954
7,0.42,-0.15,NO,N/A,1.59%,9.96%,20.99%,10.34%,21.1,0.0131,0.0394,0.007,0.022,0.982,0.958
8,0.38,-0.16,NO,N/A,1.49%,8.86%,21.33%,9.76%,21.24,0.0115,0.0353,0.006,0.022,0.984,0.96
9,0.3,-0.25,NO,N/A,1.42%,8.61%,19.45%,9.34%,19.29,0.0109,0.0307,0.006,0.018,0.985,0.963
10,0.27,-0.19,NO,N/A,1.39%,8.6%,15.61%,8.5%,16.23,0.01,0.0221,0.005,0.013,0.987,0.961
